#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 0.200 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  63  2.166112  3.9604  4.0455  1.5379  1.8741  0.7724  0.9488  1.1645  1.3746
  64  2.176211  3.9608  4.0398  1.5471  1.8525  0.7497  0.9272  1.1438  1.3543
  65  2.186827  3.9608  4.0327  1.5562  1.8301  0.7254  0.9035  1.1205  1.3313
  66  2.198164  3.9611  4.0248  1.5671  1.8045  0.6984  0.8772  1.0949  1.3049
  67  2.210509  3.9611  4.0149  1.5789  1.7758  0.6673  0.8466  1.0650  1.2746
  68  2.226440  3.9617  4.0036  1.5953  1.7361  0.6257  0.8072  1.0263  1.2357
  69  2.240868  3.9622  3.9914  1.6117  1.6958  0.5832  0.7666  0.9866  1.1968
  70  2.257852  3.9626  3.9777  1.6306  1.6477  0.5338  0.7192  0.9406  1.1504
  71  2.275352  3.9629  3.9634  1.6509  1.5977  0.4811  0.6690  0.8920  1.1018
  72  2.293475  3.9633  3.9471  1.6719  1.5459  0.4271  0.6169  0.8408  1.0509
  73  2.311106  3.9634  3.9305  1.6922  1.4952  0.3739  0.5648  0.7897  0.9988
  74  2.328217  3.9635  3.9134  1.7123  1.4464  0.3236  0.5148  0.7396  0.9484
  75  2.344572  3.9627  3.8966  1.7302  1.4015  0.2758  0.4670  0.6921  0.8999
  76  2.359851  3.9621  3.8807  1.7468  1.3601  0.2337  0.4230  0.6470  0.8545
  77  2.374241  3.9617  3.8650  1.7624  1.3212  0.1929  0.3814  0.6054  0.8115
  78  2.388150  3.9605  3.8494  1.7774  1.2834  0.1543  0.3415  0.5639  0.7693
  79  2.400726  3.9595  3.8345  1.7912  1.2490  0.1196  0.3044  0.5253  0.7296
  80  2.413480  3.9584  3.8192  1.8041  1.2159  0.0864  0.2683  0.4875  0.6901
