objid,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671262272291000,132.83292671972,11.7834316676203,14.84076,14.73989,14.52766,13.96524,13.90927,0.00972637,0.01212123,0.01149001,0.01340984,0.02090005
1237671262272291600,132.846437903218,11.7732562431753,23.94808,21.70446,20.07766,18.80204,17.96019,0.5158539,0.05329203,0.02258311,0.01079185,0.01634363
1237671262272291000,132.836078304502,11.7570167159588,18.40623,16.33837,15.47961,15.1712,14.96316,0.01457443,0.00412462,0.003528165,0.004250221,0.005096572
1237671262272291000,132.834691148425,11.7645668206048,15.67224,15.56633,15.59796,15.09616,13.77081,0.009243949,0.01564539,0.01312421,0.01643679,0.008165402
1237671262272291000,132.839826538654,11.7683787943685,16.39044,14.91512,13.93776,13.28875,13.26625,0.01611217,0.01252821,0.01003991,0.01192587,0.01795997
1237671262272291000,132.838413566078,11.7646381276681,15.55888,15.05239,14.92158,14.35865,14.40193,0.01243398,0.0136753,0.0121619,0.0140201,0.02252744
1237671262272291000,132.835707489804,11.7712097878004,15.51087,15.69734,15.15352,14.97913,13.86083,0.01055124,0.01846696,0.01279159,0.01583081,0.008818455
1237671262272291000,132.835612142206,11.7680101486716,15.67797,15.68277,15.645,15.36648,14.07958,0.01015336,0.01423112,0.01272472,0.01501882,0.009143084
1237671262272291000,132.850215184941,11.786562207951,15.95352,14.75851,14.94423,14.85851,14.29048,0.009745255,0.005119627,0.01215765,0.01965406,0.008476789
1237671262272291000,132.850479061127,11.7859328142819,15.86,15.75064,15.7772,14.86811,13.93442,0.008570064,0.02214483,0.01378287,0.02254362,0.007723521
1237671262272291000,132.849172777393,11.7877943553645,15.88091,15.94526,15.26614,14.64447,13.47791,0.01018618,0.0186246,0.01292759,0.01728016,0.008948703
1237671262272291000,132.863714808832,11.7924885870886,16.30056,15.14194,15.95734,14.75766,14.7723,0.006978662,0.004126033,0.01335446,0.004751354,0.005765886
1237671262272291000,132.851320751547,11.7912339754924,17.19168,15.63659,16.06926,14.97106,14.8421,0.009683741,0.004664963,0.01387736,0.005396878,0.006160306
1237671262272291000,132.855696905622,11.7928393197954,15.00938,15.16061,15.40391,14.36897,13.63399,0.007963547,0.01222784,0.01313614,0.01321595,0.01838028
1237671262272291000,132.87229151432,11.7576648871175,16.37055,15.39267,15.01446,14.29599,14.11088,0.01037173,0.01488638,0.01210019,0.01289868,0.02364116
1237671262272291000,132.868817415584,11.7593980561843,18.31363,16.28197,15.45212,15.15284,14.98524,0.01383147,0.004031031,0.00356711,0.004195945,0.005137402
1237671262272291000,132.900295823118,11.7963853859808,16.34191,15.04324,15.72893,14.3595,14.2685,0.007293347,0.004008965,0.01195562,0.004914122,0.005509413
1237671262272291000,132.885176997984,11.7978653850684,15.18814,14.78519,15.43079,14.36054,13.24674,0.008026836,0.01187562,0.01309417,0.01299672,0.007773098
1237671262272291000,132.877575895037,11.7964963078365,18.90617,16.48772,15.49382,15.14498,14.97335,0.01871586,0.0040723,0.003529356,0.004028501,0.004891939
