#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 4.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  68  1.025112  3.7683  4.4270  0.0484  6.3844  4.9593  4.4892  4.3899  4.3877
  69  1.029194  3.7694  4.4222  0.0590  6.3447  4.9290  4.4631  4.3652  4.3643
  70  1.034120  3.7705  4.4164  0.0716  6.2974  4.8928  4.4318  4.3358  4.3360
  71  1.039269  3.7716  4.4102  0.0845  6.2492  4.8555  4.3995  4.3052  4.3069
  72  1.045483  3.7729  4.4029  0.0997  6.1929  4.8118  4.3615  4.2692  4.2724
  73  1.050363  3.7741  4.3969  0.1120  6.1486  4.7769  4.3310  4.2403  4.2447
  74  1.055063  3.7751  4.3910  0.1237  6.1061  4.7433  4.3016  4.2124  4.2179
  75  1.059424  3.7759  4.3854  0.1348  6.0666  4.7118  4.2741  4.1863  4.1928
  76  1.061594  3.7767  4.3826  0.1416  6.0401  4.6919  4.2574  4.1707  4.1781
  77  1.065826  3.7775  4.3769  0.1524  6.0020  4.6615  4.2307  4.1453  4.1537
  78  1.069945  3.7783  4.3715  0.1629  5.9646  4.6316  4.2049  4.1208  4.1302
  79  1.073934  3.7792  4.3663  0.1731  5.9270  4.6023  4.1801  4.0974  4.1078
  80  1.077718  3.7800  4.3613  0.1827  5.8911  4.5742  4.1565  4.0751  4.0865
  81  1.081355  3.7807  4.3566  0.1921  5.8561  4.5471  4.1339  4.0537  4.0661
  82  1.084064  3.7814  4.3530  0.1990  5.8307  4.5272  4.1172  4.0380  4.0511
  83  1.086784  3.7819  4.3495  0.2059  5.8055  4.5076  4.1007  4.0223  4.0360
  84  1.089527  3.7825  4.3459  0.2127  5.7804  4.4879  4.0841  4.0065  4.0209
  85  1.092284  3.7830  4.3423  0.2196  5.7555  4.4684  4.0676  3.9909  4.0058
  86  1.094897  3.7836  4.3390  0.2261  5.7315  4.4497  4.0520  3.9759  3.9915
  87  1.097340  3.7841  4.3361  0.2322  5.7087  4.4322  4.0373  3.9620  3.9781
  88  1.099623  3.7845  4.3334  0.2379  5.6870  4.4155  4.0233  3.9488  3.9656
  89  1.101755  3.7851  4.3307  0.2434  5.6664  4.3999  4.0101  3.9363  3.9536
  90  1.103755  3.7857  4.3283  0.2487  5.6469  4.3849  3.9975  3.9243  3.9422
  91  1.105645  3.7861  4.3259  0.2537  5.6289  4.3708  3.9852  3.9126  3.9308
