#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=10.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  72  0.817332  3.7103  4.5252 -0.3805  8.4912  6.3606  5.6197  5.4249  5.3503
  73  0.822408  3.7124  4.5204 -0.3645  8.4067  6.3046  5.5753  5.3848  5.3130
  74  0.827394  3.7145  4.5156 -0.3488  8.3245  6.2503  5.5321  5.3455  5.2764
  75  0.832282  3.7165  4.5109 -0.3334  8.2446  6.1973  5.4897  5.3070  5.2405
  76  0.837053  3.7184  4.5058 -0.3182  8.1674  6.1458  5.4483  5.2691  5.2053
  77  0.841713  3.7203  4.5009 -0.3033  8.0920  6.0956  5.4077  5.2319  5.1707
  78  0.846245  3.7221  4.4958 -0.2887  8.0190  6.0468  5.3681  5.1954  5.1367
  79  0.850665  3.7238  4.4906 -0.2742  7.9477  5.9992  5.3292  5.1595  5.1031
  80  0.854950  3.7255  4.4854 -0.2601  7.8782  5.9531  5.2912  5.1244  5.0702
  81  0.859140  3.7272  4.4801 -0.2461  7.8104  5.9082  5.2539  5.0898  5.0377
  82  0.863264  3.7287  4.4747 -0.2323  7.7439  5.8641  5.2172  5.0556  5.0055
  83  0.867300  3.7303  4.4693 -0.2187  7.6793  5.8209  5.1811  5.0219  4.9738
  84  0.871253  3.7317  4.4637 -0.2053  7.6166  5.7787  5.1457  4.9889  4.9426
  85  0.875134  3.7332  4.4582 -0.1921  7.5558  5.7372  5.1110  4.9564  4.9119
  86  0.878944  3.7345  4.4527 -0.1790  7.4970  5.6965  5.0769  4.9246  4.8817
  87  0.882682  3.7359  4.4470 -0.1662  7.4398  5.6566  5.0432  4.8933  4.8521
  88  0.886356  3.7372  4.4413 -0.1537  7.3844  5.6175  5.0103  4.8625  4.8229
  89  0.889969  3.7385  4.4355 -0.1412  7.3306  5.5793  4.9781  4.8322  4.7941
  90  0.893515  3.7397  4.4298 -0.1289  7.2786  5.5419  4.9464  4.8024  4.7657
  91  0.896998  3.7408  4.4239 -0.1168  7.2280  5.5053  4.9152  4.7732  4.7379
  92  0.900422  3.7419  4.4181 -0.1049  7.1788  5.4696  4.8846  4.7443  4.7104
  93  0.903775  3.7429  4.4123 -0.0932  7.1311  5.4346  4.8546  4.7160  4.6833
  94  0.907059  3.7439  4.4063 -0.0819  7.0850  5.4005  4.8252  4.6881  4.6567
  95  0.910269  3.7449  4.4005 -0.0706  7.0401  5.3671  4.7964  4.6609  4.6307
  96  0.913411  3.7458  4.3945 -0.0595  6.9965  5.3346  4.7681  4.6341  4.6049
  97  0.916490  3.7466  4.3887 -0.0486  6.9543  5.3027  4.7404  4.6078  4.5797
  98  0.919504  3.7475  4.3828 -0.0380  6.9133  5.2717  4.7133  4.5819  4.5550
  99  0.922464  3.7483  4.3769 -0.0275  6.8738  5.2414  4.6866  4.5566  4.5305
 100  0.925368  3.7490  4.3710 -0.0172  6.8348  5.2117  4.6605  4.5317  4.5065
 101  0.928224  3.7497  4.3651 -0.0071  6.7973  5.1829  4.6349  4.5071  4.4828
 102  0.931040  3.7504  4.3591  0.0029  6.7607  5.1546  4.6097  4.4829  4.4593
 103  0.933823  3.7511  4.3532  0.0126  6.7253  5.1268  4.5849  4.4591  4.4363
 104  0.936575  3.7517  4.3473  0.0223  6.6908  5.0997  4.5605  4.4357  4.4135
 105  0.939306  3.7522  4.3413  0.0318  6.6572  5.0730  4.5365  4.4125  4.3910
 106  0.942013  3.7528  4.3353  0.0412  6.6246  5.0470  4.5128  4.3896  4.3688
 107  0.944693  3.7533  4.3292  0.0505  6.5928  5.0213  4.4895  4.3670  4.3468
 108  0.947329  3.7537  4.3232  0.0597  6.5620  4.9963  4.4665  4.3447  4.3250
 109  0.949896  3.7542  4.3170  0.0686  6.5319  4.9716  4.4438  4.3227  4.3035
 110  0.952348  3.7546  4.3111  0.0776  6.5023  4.9473  4.4215  4.3010  4.2823
 111  0.954723  3.7550  4.3051  0.0863  6.4732  4.9235  4.3996  4.2797  4.2613
 112  0.956175  3.7553  4.3013  0.0917  6.4554  4.9086  4.3860  4.2665  4.2484
 113  0.957628  3.7555  4.2974  0.0972  6.4375  4.8938  4.3721  4.2530  4.2352
 114  0.959077  3.7558  4.2935  0.1027  6.4195  4.8788  4.3583  4.2395  4.2220
 115  0.960525  3.7560  4.2895  0.1083  6.4016  4.8636  4.3442  4.2258  4.2085
 116  0.961972  3.7562  4.2854  0.1140  6.3838  4.8486  4.3300  4.2119  4.1949
 117  0.963415  3.7564  4.2812  0.1197  6.3659  4.8334  4.3159  4.1981  4.1813
 118  0.964857  3.7566  4.2769  0.1254  6.3483  4.8181  4.3015  4.1840  4.1675
 119  0.966298  3.7568  4.2726  0.1312  6.3305  4.8028  4.2872  4.1700  4.1536
 120  0.967737  3.7570  4.2682  0.1370  6.3129  4.7873  4.2727  4.1558  4.1397
 121  0.969173  3.7572  4.2638  0.1427  6.2954  4.7720  4.2581  4.1415  4.1255
 122  0.970610  3.7574  4.2592  0.1485  6.2778  4.7565  4.2435  4.1272  4.1114
 123  0.972007  3.7576  4.2547  0.1545  6.2597  4.7408  4.2286  4.1126  4.0971
 124  0.973411  3.7578  4.2501  0.1605  6.2416  4.7249  4.2137  4.0979  4.0827
 125  0.974820  3.7579  4.2455  0.1664  6.2237  4.7091  4.1989  4.0833  4.0682
 126  0.976232  3.7581  4.2408  0.1724  6.2059  4.6933  4.1839  4.0685  4.0537
 127  0.977648  3.7583  4.2361  0.1784  6.1882  4.6775  4.1689  4.0538  4.0391
 128  0.979064  3.7584  4.2311  0.1845  6.1707  4.6617  4.1537  4.0389  4.0244
 129  0.980482  3.7585  4.2262  0.1905  6.1533  4.6460  4.1387  4.0241  4.0095
 130  0.981902  3.7586  4.2212  0.1965  6.1363  4.6303  4.1236  4.0090  3.9947
 131  0.983319  3.7587  4.2161  0.2027  6.1195  4.6146  4.1083  3.9940  3.9797
 132  0.984734  3.7588  4.2108  0.2088  6.1029  4.5990  4.0931  3.9788  3.9646
 133  0.986147  3.7588  4.2055  0.2149  6.0865  4.5835  4.0778  3.9635  3.9494
 134  0.987556  3.7589  4.2001  0.2211  6.0704  4.5678  4.0624  3.9483  3.9341
 135  0.988961  3.7589  4.1946  0.2273  6.0541  4.5522  4.0471  3.9329  3.9188
 136  0.990363  3.7589  4.1889  0.2335  6.0385  4.5367  4.0316  3.9174  3.9033
 137  0.991760  3.7588  4.1833  0.2397  6.0230  4.5212  4.0162  3.9019  3.8877
 138  0.993151  3.7587  4.1773  0.2459  6.0079  4.5059  4.0006  3.8862  3.8720
 139  0.994538  3.7586  4.1714  0.2522  5.9929  4.4904  3.9851  3.8706  3.8562
 140  0.995920  3.7585  4.1653  0.2585  5.9785  4.4752  3.9695  3.8549  3.8403
 141  0.997296  3.7584  4.1591  0.2648  5.9638  4.4598  3.9538  3.8390  3.8243
 142  0.998669  3.7583  4.1528  0.2712  5.9500  4.4448  3.9381  3.8231  3.8082
 143  1.000035  3.7581  4.1463  0.2775  5.9362  4.4296  3.9224  3.8071  3.7920
 144  1.001399  3.7579  4.1398  0.2839  5.9229  4.4145  3.9067  3.7910  3.7756
 145  1.002760  3.7576  4.1330  0.2903  5.9102  4.3997  3.8909  3.7748  3.7591
 146  1.004122  3.7574  4.1260  0.2966  5.8977  4.3848  3.8750  3.7586  3.7425
 147  1.005481  3.7570  4.1187  0.3031  5.8866  4.3703  3.8592  3.7422  3.7257
