#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 9.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  72  0.843604  3.7191  4.5144 -0.3205  8.1596  6.1466  5.4525  5.2746  5.2119
  73  0.848571  3.7211  4.5094 -0.3050  8.0805  6.0942  5.4104  5.2360  5.1760
  74  0.853407  3.7231  4.5043 -0.2898  8.0035  6.0433  5.3690  5.1980  5.1406
  75  0.858122  3.7249  4.4992 -0.2748  7.9285  5.9937  5.3286  5.1608  5.1059
  76  0.862719  3.7267  4.4940 -0.2601  7.8553  5.9458  5.2891  5.1242  5.0716
  77  0.867214  3.7285  4.4888 -0.2455  7.7840  5.8990  5.2504  5.0883  5.0378
  78  0.871612  3.7302  4.4835 -0.2313  7.7149  5.8533  5.2125  5.0531  5.0048
  79  0.875929  3.7318  4.4781 -0.2173  7.6478  5.8087  5.1753  5.0185  4.9723
  80  0.880163  3.7333  4.4727 -0.2035  7.5830  5.7650  5.1389  4.9846  4.9403
  81  0.884328  3.7349  4.4672 -0.1898  7.5204  5.7221  5.1032  4.9514  4.9090
  82  0.888339  3.7363  4.4618 -0.1768  7.4609  5.6809  5.0689  4.9195  4.8788
  83  0.892290  3.7377  4.4563 -0.1639  7.4031  5.6406  5.0351  4.8881  4.8491
  84  0.896181  3.7390  4.4508 -0.1511  7.3471  5.6011  5.0020  4.8572  4.8198
  85  0.900015  3.7402  4.4452 -0.1385  7.2927  5.5626  4.9695  4.8268  4.7909
  86  0.903783  3.7415  4.4396 -0.1262  7.2397  5.5247  4.9376  4.7968  4.7625
  87  0.907477  3.7427  4.4341 -0.1140  7.1883  5.4878  4.9062  4.7674  4.7346
  88  0.911099  3.7439  4.4284 -0.1021  7.1384  5.4517  4.8755  4.7385  4.7071
  89  0.914648  3.7450  4.4227 -0.0903  7.0901  5.4165  4.8455  4.7101  4.6800
  90  0.918113  3.7460  4.4170 -0.0788  7.0434  5.3822  4.8160  4.6823  4.6536
  91  0.921506  3.7470  4.4114 -0.0676  6.9979  5.3487  4.7871  4.6550  4.6275
  92  0.924826  3.7480  4.4056 -0.0565  6.9538  5.3159  4.7588  4.6282  4.6019
  93  0.928075  3.7489  4.4000 -0.0456  6.9110  5.2840  4.7312  4.6020  4.5767
  94  0.931256  3.7498  4.3944 -0.0350  6.8692  5.2528  4.7040  4.5763  4.5520
  95  0.934374  3.7506  4.3887 -0.0245  6.8287  5.2224  4.6774  4.5509  4.5276
